author,birthyr,date,docid,firstpub,gender,imprint,numwords,originalid,selectedby,source,title
"Stanton, Theodore,",,1910,mdp.39015004234418,1910,m,,149571,,biog,hathi,Reminiscences of Rosa Bonheur
"Desmaizeaux, Pierre,",,1708,njp.32101061958524,1708,m,,44138,,biog,hathi,The life of Mr. Bayle
"Cutter, William,",,1848,yale.39002071560305,1848,m,New York;G. F. Cooledge;1848.,108040,,biog,hathi,"The life of Israel Putnam, major-general in the Army of the American Revolution"
"Sears, Joseph Hamblen,",,1920,mdp.39015059422496,1920,m,,46600,,biog,hathi,The career of Leonard Wood
"Ireland, W. H.",,1822,mdp.39015025930705,1822,,,78343,,biog,hathi,The Napoleon anecdotes
"Gronow, R. H. ",,1900,uc2.ark+=13960=t6tx38r5x,1866,,,96930,,biog,hathi,The reminiscences and recollections of Captain Gronow;
"Lediard, Thomas,",,1743,njp.32101073816918,1743,m,,209000,,biog,hathi,"The life of John, Duke of Marlborough"
"Fraser, Antonia",,1973,cromwell,1973,f,,1500,,biog,other,Cromwell: The Lord Protector
"Chaplin, Charles",,1964,chaplin,1964,,,176600,,biog,other,My autobiography
"Cibber, Colley",,1740,colleycibber,1740,,,98000,,biog,other,An apology for the life of colley cibber
"Woodham-Smith, Cecil",,1950,florencenightingale,1950,,,165412,,biog,other,Florence Nightingale
"Cornish, Joseph",,1780,firmin,1780,,,35370,,biog,other,"The Life of Mr Thomas Firmin, Citizen of London"
"Bigelow, John",,1895,tilden,1895,,,147400,,biog,other,The Life of Samuel J Tilden
"Lennox, Charlotte",1729,1797,LennCHS,1797,,,61951,LennCHS.txt,random,ecco,THE HISTORY OF SIR GEORGE WARRINGTON; OR THE POLITICAL QUIXOTE.
